Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
4,WELCOME,0,0,25 to 34 years,C2,Chinatown,,,z,email,True,2015,False,3.0
4,WELCOME,0,0,25 to 34 years,C2,Chinatown,,,z,email,True,2015,False,3.0
4,WELCOME,0,0,25 to 34 years,C2,Chinatown,,,z,email,True,2015,False,3.0
4,WELCOME,0,0,25 to 34 years,C2,Chinatown,,,z,email,True,2015,False,3.0
4,WELCOME,0,0,25 to 34 years,C2,Chinatown,,,z,email,True,2015,False,3.0
4,WELCOME,0,0,25 to 34 years,M6,Mission,,,z,email,True,2013,False,9.0
4,WELCOME,0,0,25 to 34 years,M6,Mission,,,z,email,True,2013,False,9.0
4,WELCOME,0,0,25 to 34 years,M6,Mission,,,z,email,True,2013,False,9.0
0,ADULT,2,0,25 to 34 years,M2,Marina,March,2016.0,z,email,True,2016,False,2.0
0,ADULT,3,0,25 to 34 years,X,Main Library,March,2013.0,z,email,True,2013,False,6.0
0,ADULT,3,0,25 to 34 years,X,Main Library,March,2013.0,z,email,True,2013,False,6.0
4,WELCOME,0,0,25 to 34 years,M6,Mission,,,p,phone,False,2015,False,9.0
4,WELCOME,0,0,25 to 34 years,M6,Mission,,,p,phone,False,2015,False,9.0
4,WELCOME,0,0,25 to 34 years,M6,Mission,,,p,phone,False,2015,False,9.0
4,WELCOME,0,0,25 to 34 years,M6,Mission,,,p,phone,False,2015,False,9.0
0,ADULT,0,0,25 to 34 years,S7,Sunset,,,z,email,True,2016,False,7.0
0,ADULT,0,0,25 to 34 years,S7,Sunset,,,z,email,True,2016,False,7.0
0,ADULT,0,0,25 to 34 years,S7,Sunset,,,z,email,True,2016,False,7.0
0,ADULT,0,0,25 to 34 years,S7,Sunset,,,z,email,True,2016,False,7.0
0,ADULT,0,0,25 to 34 years,S7,Sunset,,,z,email,True,2016,False,7.0
0,ADULT,0,0,25 to 34 years,S7,Sunset,,,z,email,True,2016,False,7.0
0,ADULT,2,0,25 to 34 years,R3,Richmond,July,2016.0,z,email,True,2016,False,1.0
0,ADULT,0,0,35 to 44 years,G6,Golden Gate Valley,,,z,email,True,2016,False,10.0
0,ADULT,0,0,45 to 54 years,E7,Eureka Valley/Harvey Milk Memorial,,,z,email,True,2014,False,9.0
0,ADULT,0,0,60 to 64 years,P7,Potrero,,,z,email,True,2015,False,10.0
0,ADULT,0,0,60 to 64 years,P7,Potrero,,,z,email,True,2015,False,10.0
3,SENIOR,0,0,65 to 74 years,W4,Western Addition,,,p,phone,False,2014,False,5.0
3,SENIOR,0,0,65 to 74 years,W4,Western Addition,,,p,phone,False,2014,False,5.0
3,SENIOR,0,0,65 to 74 years,W4,Western Addition,,,p,phone,False,2014,False,5.0
0,ADULT,0,0,35 to 44 years,M6,Mission,,,p,phone,False,2012,True,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,0,0,45 to 54 years,X,Main Library,,,z,email,True,2013,False,
0,ADULT,1,0,20 to 24 years,M4,Merced,October,2015.0,z,email,True,2015,True,
4,WELCOME,1,0,25 to 34 years,P3,Parkside,April,2015.0,z,email,True,2015,False,4.0
0,ADULT,0,0,45 to 54 years,E9,Excelsior,,,p,phone,False,2013,False,11.0
0,ADULT,0,0,45 to 54 years,E9,Excelsior,,,p,phone,False,2013,False,11.0
0,ADULT,0,0,45 to 54 years,E9,Excelsior,,,p,phone,False,2013,False,11.0
0,ADULT,3,0,35 to 44 years,X,Main Library,May,2013.0,z,email,True,2013,False,6.0
0,ADULT,1,0,25 to 34 years,X,Main Library,August,2013.0,z,email,True,2013,False,
0,ADULT,1,0,25 to 34 years,X,Main Library,August,2013.0,z,email,True,2013,False,
3,SENIOR,0,0,65 to 74 years,M8,Mission Bay,,,z,email,True,2013,False,6.0
3,SENIOR,0,0,65 to 74 years,M8,Mission Bay,,,z,email,True,2013,False,6.0
3,SENIOR,0,0,65 to 74 years,M8,Mission Bay,,,z,email,True,2013,False,6.0
3,SENIOR,0,0,65 to 74 years,M8,Mission Bay,,,z,email,True,2013,False,6.0
3,SENIOR,0,0,65 to 74 years,M8,Mission Bay,,,z,email,True,2013,False,6.0
